"ticker","nombre_empresa","sector","industria","fecha_consulta","market_cap","enterprise_value"
"0007.HK","Wisdom Wealth Resources Investment Holding Group Limited","Technology","Technology Distributors",NULL,"107364480.0",NULL
"0020.HK","SenseTime Group Inc.","Technology","Software - Application",NULL,"50950670400.0",NULL
"0031.HK","China Aerospace International Holdings Limited","Technology","Hardware, Equipment & Parts",NULL,"1187732700.0",NULL
"0040.HK","Gold Peak Technology Group Limited","Technology","Hardware, Equipment & Parts",NULL,"532467920.0",NULL
"0046.HK","Computer And Technologies Holdings Limited","Technology","Information Technology Services",NULL,"350372160.0",NULL
"0076.HK","Elate Holdings Limited","Technology","Hardware, Equipment & Parts",NULL,"115722760.0",NULL
"0085.HK","China Electronics Huada Technology Company Limited","Technology","Semiconductors",NULL,"3024506300.0",NULL
"0091.HK","Golden Century International Holdings Group Limited","Technology","Technology Distributors",NULL,"106900800.0",NULL
"0092.HK","Champion Technology Holdings Limited","Technology","Information Technology Services",NULL,"197926107.0",NULL
"0099.HK","Wong's International Holdings Limited","Technology","Consumer Electronics",NULL,"593320160.0",NULL
"0A20.L","Beyond Meat, Inc.","Consumer Defensive","Packaged Foods",NULL,"401460437.0",NULL
"0CIJ.L","Raisio plc","Consumer Defensive","Packaged Foods",NULL,"394605701.0",NULL
"0DLI.L","Acomo N.V.","Consumer Defensive","Food Distribution",NULL,"676117790.0",NULL
"0DTK.L","Savencia SA","Consumer Defensive","Packaged Foods",NULL,"900535174.0",NULL
"0F4O.L","Lotus Bakeries NV","Consumer Defensive","Packaged Foods",NULL,"7352277130.0",NULL
"0HJC.L","Vilmorin & Cie SA","Consumer Defensive","Agricultural Farm Products",NULL,"1448520032.0",NULL
"0HN5.L","Big Lots, Inc.","Consumer Defensive","Discount Stores",NULL,"445410.0",NULL
"0HQ3.L","Brown-Forman Corporation","Consumer Defensive","Beverages - Alcoholic",NULL,"12930434855.0",NULL
"0HST.L","Campbell Soup Company","Consumer Defensive","Packaged Foods",NULL,"10228840300.0",NULL
"A","Agilent Technologies, Inc.","Healthcare","Medical - Diagnostics & Research",NULL,"34428678000.0",NULL
